time,tool_processes,rss_sum_kib,rss_max_kib
2026-09-25T09:35:08+00:00,2,2385400,2380572
2026-09-25T09:35:10+00:00,2,2442224,2437396
2026-09-25T09:35:12+00:00,2,2495620,2490792
2026-09-25T09:35:14+00:00,2,2548376,2543548
2026-09-25T09:35:16+00:00,2,2600552,2595724
2026-09-25T09:35:18+00:00,2,2646528,2641700
2026-09-25T09:35:20+00:00,2,2646528,2641700
2026-09-25T09:35:22+00:00,2,2646528,2641700
2026-09-25T09:35:24+00:00,2,460680,455852
2026-09-25T09:35:26+00:00,2,868356,863528
2026-09-25T09:35:28+00:00,2,1370412,1365584
2026-09-25T09:35:30+00:00,2,1665628,1660800
2026-09-25T09:35:32+00:00,2,2341116,2336288
2026-09-25T09:35:34+00:00,2,2637108,2632280
2026-09-25T09:35:36+00:00,2,2413728,2408900
2026-09-25T09:35:38+00:00,2,2352884,2348056
2026-09-25T09:35:40+00:00,2,2352884,2348056
2026-09-25T09:35:42+00:00,2,301312,296484
2026-09-25T09:35:44+00:00,2,317164,312336
2026-09-25T09:35:46+00:00,2,320080,315252
2026-09-25T09:35:48+00:00,2,301332,296504
2026-09-25T09:35:50+00:00,2,309116,304288
2026-09-25T09:35:52+00:00,2,319440,314612
2026-09-25T09:35:54+00:00,2,346100,341272
2026-09-25T09:35:56+00:00,2,400084,395256
2026-09-25T09:35:58+00:00,2,454892,450064
2026-09-25T09:36:00+00:00,2,501272,496444
2026-09-25T09:36:02+00:00,2,552060,547232
2026-09-25T09:36:04+00:00,2,600036,595208
2026-09-25T09:36:06+00:00,2,646720,641892
2026-09-25T09:36:08+00:00,2,693832,689004
2026-09-25T09:36:10+00:00,2,746532,741704
2026-09-25T09:36:12+00:00,2,796952,792124
2026-09-25T09:36:14+00:00,2,457468,452724
2026-09-25T09:36:16+00:00,2,374824,370076
2026-09-25T09:36:18+00:00,2,534648,529900
2026-09-25T09:36:20+00:00,2,650112,645364
2026-09-25T09:36:22+00:00,2,780272,775524
2026-09-25T09:36:24+00:00,2,969132,964384
2026-09-25T09:36:26+00:00,2,1035896,1031148
2026-09-25T09:36:28+00:00,2,1095148,1090400
2026-09-25T09:36:30+00:00,2,1674904,1670156
2026-09-25T09:36:32+00:00,2,1469936,1465188
2026-09-25T09:36:34+00:00,2,1534556,1529808
2026-09-25T09:36:36+00:00,2,1600504,1595756
2026-09-25T09:36:38+00:00,2,1665120,1660372
2026-09-25T09:36:40+00:00,2,1728368,1723620
2026-09-25T09:36:42+00:00,2,1772804,1768056
2026-09-25T09:36:44+00:00,2,2854552,2849804
2026-09-25T09:36:46+00:00,2,2385040,2380292
2026-09-25T09:36:48+00:00,2,2447980,2443232
2026-09-25T09:36:50+00:00,2,2495336,2490588
2026-09-25T09:36:52+00:00,2,2549328,2544580
2026-09-25T09:36:54+00:00,2,2601312,2596564
2026-09-25T09:36:56+00:00,2,2653264,2648516
2026-09-25T09:36:58+00:00,2,2664536,2659788
2026-09-25T09:37:00+00:00,2,2664536,2659788
2026-09-25T09:37:02+00:00,2,377668,372920
2026-09-25T09:37:04+00:00,2,803180,798432
